"usgs_site","post_Nitrate","post_NO3_NO2","post_SPC","post_Sulfate","post_Calcium","post_TSS","post_Turbidity","post_Potassium","pre_Nitrate","pre_NO3_NO2","pre_SPC","pre_Sulfate","pre_Calcium","pre_TSS","pre_Turbidity","pre_Potassium"
"USGS-09367540",NA,NA,63,NA,NA,NA,NA,NA,NA,NA,607,NA,NA,NA,NA,NA
"USGS-09371520",NA,NA,134,130,130,NA,NA,130,NA,NA,79,79,78,NA,NA,79
"USGS-09372000",NA,NA,155,150,NA,NA,NA,NA,NA,NA,214,161,NA,NA,NA,NA
"USGS-09379500",NA,NA,19,NA,NA,NA,26,NA,NA,NA,394,NA,NA,NA,210,NA
"USGS-09381800",NA,NA,21,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA
"USGS-09404450",NA,NA,75,NA,NA,NA,NA,NA,NA,NA,113,NA,NA,NA,NA,NA
"USGS-09404900",NA,NA,74,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA
"USGS-09405500",NA,NA,97,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA
"USGS-09406000",NA,NA,127,NA,NA,NA,67,NA,NA,NA,162,NA,NA,NA,56,NA
"USGS-09406100",NA,NA,112,NA,NA,NA,37,NA,NA,NA,71,NA,NA,NA,64,NA
"USGS-09408000",NA,NA,145,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA
"USGS-09408135",NA,NA,33,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA
"USGS-09408150",NA,NA,18,NA,NA,NA,NA,NA,NA,NA,161,NA,NA,NA,NA,NA
"USGS-09408400",NA,NA,30,NA,NA,NA,NA,NA,NA,NA,139,NA,NA,NA,NA,NA
"USGS-09409100",NA,NA,34,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA
"USGS-09413000",NA,NA,19,NA,NA,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA
"USGS-09413900",NA,NA,65,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA
"USGS-09505800",34,34,48,40,NA,NA,NA,NA,65,66,199,194,NA,NA,NA,NA
"USGS-10011500",NA,NA,136,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA
"USGS-10023000",NA,NA,137,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA
"USGS-10109000",NA,NA,54,NA,NA,NA,NA,NA,NA,NA,170,NA,NA,NA,NA,NA
"USGS-10113500",NA,NA,76,NA,NA,NA,NA,NA,NA,NA,146,NA,NA,NA,NA,NA
"USGS-10126000",NA,NA,24,NA,NA,NA,NA,NA,NA,NA,217,NA,NA,NA,NA,NA
"USGS-10128500",NA,NA,32,NA,NA,NA,NA,NA,NA,NA,206,NA,NA,NA,NA,NA
"USGS-10129300",NA,NA,32,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA
"USGS-10129500",NA,NA,33,NA,NA,NA,NA,NA,NA,NA,132,NA,NA,NA,NA,NA
"USGS-10130500",NA,NA,34,NA,NA,NA,NA,NA,NA,NA,212,NA,NA,NA,NA,NA
"USGS-10131000",NA,NA,134,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,NA,NA,NA
"USGS-10132000",NA,NA,31,NA,NA,NA,NA,NA,NA,NA,127,NA,NA,NA,NA,NA
"USGS-10141000",NA,NA,21,NA,NA,NA,NA,NA,NA,NA,260,NA,NA,NA,NA,NA
"USGS-10145400",NA,NA,42,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA
"USGS-10146000",NA,NA,34,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA
"USGS-10146400",NA,NA,29,NA,NA,NA,NA,NA,NA,NA,171,NA,NA,NA,NA,NA
"USGS-10147100",NA,NA,18,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA
"USGS-10149400",NA,NA,34,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA
"USGS-10154200",NA,NA,129,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA
"USGS-10155000",NA,NA,153,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA
"USGS-10163000",NA,NA,27,NA,NA,NA,NA,NA,NA,NA,230,NA,NA,NA,NA,NA
"USGS-10166430",NA,NA,135,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA
"USGS-10171000",25,25,49,24,NA,NA,NA,NA,302,348,492,348,NA,NA,NA,NA
"USGS-10172640",NA,NA,19,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA
"USGS-10172700",NA,NA,120,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA
"USGS-10172727",NA,NA,30,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA
"USGS-10172800",NA,NA,128,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA
"USGS-10173450",NA,NA,37,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA
"USGS-10174500",NA,NA,39,NA,NA,NA,NA,NA,NA,NA,145,NA,NA,NA,NA,NA
"USGS-10183500",NA,NA,27,NA,NA,NA,NA,NA,NA,NA,148,NA,NA,NA,NA,NA
"USGS-10189000",NA,NA,21,NA,NA,NA,NA,NA,NA,NA,147,NA,NA,NA,NA,NA
"USGS-10194200",NA,NA,33,NA,NA,NA,NA,NA,NA,NA,117,NA,NA,NA,NA,NA
"USGS-10205030",NA,NA,44,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA
"USGS-10217000",NA,NA,21,NA,NA,NA,NA,NA,NA,NA,111,NA,NA,NA,NA,NA
"USGS-10219000",NA,NA,22,NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA
"USGS-10224000",NA,NA,20,NA,NA,NA,NA,NA,NA,NA,176,NA,NA,NA,NA,NA
"USGS-10234500",NA,NA,26,NA,NA,NA,NA,NA,NA,NA,156,NA,NA,NA,NA,NA
"USGS-402114105350101",117,171,188,179,NA,NA,NA,NA,86,251,279,244,NA,NA,NA,NA
