"usgs_site","NA","post_SPC","post_NO3_NO2","post_TSS","post_Nitrate","post_Sulfate","post_Calcium","post_Potassium","post_Turbidity","pre_SPC","pre_NO3_NO2","pre_TSS","pre_Nitrate","pre_Sulfate","pre_Calcium","pre_Potassium","pre_Turbidity"
"USGS-09502000",NA,68,NA,NA,NA,68,68,68,NA,82,NA,NA,NA,82,82,82,NA
"USGS-09504000",NA,43,34,NA,NA,40,41,41,NA,194,135,NA,NA,191,192,170,NA
"USGS-09505800",NA,105,54,NA,53,97,NA,NA,NA,142,46,NA,46,137,NA,NA,NA
"USGS-09508500",NA,43,NA,NA,NA,43,NA,NA,NA,72,NA,NA,NA,43,NA,NA,NA
"USGS-09510000",NA,60,54,NA,NA,60,60,60,NA,117,50,NA,NA,114,114,114,NA
"USGS-09517000",NA,18,18,NA,18,18,NA,NA,NA,45,44,NA,44,44,NA,NA,NA
"USGS-10011500",NA,136,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA
"USGS-10109000",NA,54,NA,NA,NA,NA,NA,NA,NA,170,NA,NA,NA,NA,NA,NA,NA
"USGS-10113500",NA,84,NA,NA,NA,NA,NA,NA,NA,138,NA,NA,NA,NA,NA,NA,NA
"USGS-10126000",NA,72,NA,NA,NA,NA,NA,NA,NA,169,NA,NA,NA,NA,NA,NA,NA
"USGS-10128500",NA,56,NA,NA,NA,NA,NA,NA,NA,182,NA,NA,NA,NA,NA,NA,NA
"USGS-10129500",NA,57,NA,NA,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,NA,NA,NA
"USGS-10130500",NA,60,NA,NA,NA,NA,NA,NA,NA,186,NA,NA,NA,NA,NA,NA,NA
"USGS-10131000",NA,134,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,NA,NA,NA,NA,NA
"USGS-10132000",NA,54,NA,NA,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,NA,NA,NA
"USGS-10136500",NA,48,NA,NA,NA,NA,NA,NA,NA,132,NA,NA,NA,NA,NA,NA,NA
"USGS-10141000",NA,73,33,NA,33,35,32,32,NA,208,108,NA,64,124,123,124,NA
"USGS-10146400",NA,109,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA
"USGS-10147100",NA,36,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA
"USGS-10149400",NA,90,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA
"USGS-10150500",NA,32,NA,NA,NA,NA,NA,NA,NA,212,NA,NA,NA,NA,NA,NA,NA
"USGS-10154200",NA,129,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA,NA,NA
"USGS-10155000",NA,153,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA
"USGS-10163000",NA,167,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA
"USGS-10166430",NA,135,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA
"USGS-10171000",NA,94,56,NA,56,55,NA,NA,NA,447,317,NA,271,317,NA,NA,NA
"USGS-10172640",NA,19,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA
"USGS-10172700",NA,128,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA
"USGS-10172800",NA,128,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA
"USGS-10173450",NA,37,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA
"USGS-10174500",NA,119,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA
"USGS-10183500",NA,46,NA,NA,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,NA,NA,NA
"USGS-10189000",NA,91,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA
"USGS-10194200",NA,78,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA
"USGS-10205030",NA,44,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA
"USGS-10206000",NA,28,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA
"USGS-10217000",NA,66,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA
"USGS-10219000",NA,68,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA
"USGS-10224000",NA,67,NA,NA,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,NA,NA,NA
"USGS-10234500",NA,52,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA
"USGS-402114105350101",NA,188,171,NA,117,179,NA,NA,NA,279,251,NA,86,244,NA,NA,NA
