site_code,Year,Month,mean_no3_uM,cum_Q_L,c_x_Q,cum_no3_storms,cum_Q_storms,vwm_monthly
AB00,2010,7,53.05,9597666.24,509156194.032,0,0,53.05
AB00,2010,8,49.5,13852797.12,685713457.4399999,0,0,49.5
AB00,2010,10,54,82904886.71999998,4476863882.879999,0,0,54
AB00,2010,11,53.7,90409841.28,4855008476.736,0,0,53.7
AB00,2011,1,60.900000000000006,576942108.48,35135774406.43201,0,0,60.90000000000001
AB00,2011,2,23.695833333333333,149445768.96,3541242033.6480002,186499000,10900000,23.248140925863318
AB00,2011,3,43.75,37289972.160000004,1631436282.0000002,106266600000,1980000000,53.486626995160684
AB00,2011,4,49.6,366005511.36,18153873363.456,0,0,49.6
AB00,2011,5,48.55,307292736.96,14919062379.407997,0,0,48.55
AB00,2011,6,38.6,260623811.52,10060079124.672,0,0,38.6
AB00,2011,7,70.6,149828512.32,10577892969.791998,0,0,70.6
AB00,2011,8,66.4,92326011.84,6130447186.176001,0,0,66.4
AB00,2011,9,68.4,69867524.16,4778938652.544001,0,0,68.4
AB00,2011,10,72.15,108031397.75999999,7794465348.384,0,0,72.15
AB00,2011,11,69.8,68652299.52,4791930506.495999,4086636000,76400000,61.20941574781316
AB00,2011,12,58.38333333333333,81783060.48,4774767681.024,0,0,58.38333333333333
AB00,2012,1,73.45,43714607.04,3210837887.088,6236250000,125000000,55.99448709765966
AB00,2012,2,57.575,55140557.76,3174717613.032,0,0,57.575
AB00,2012,3,50.7,42953120.64,2177723216.448,4268448000,183400000,28.478384562235476
AB00,2012,4,45.4,32372922.24,1469730669.6959999,2183069000,86500000,30.728610022063172
AB00,2012,5,68.86666666666666,55777127.04,3841184815.4879994,0,0,68.86666666666666
AB00,2012,6,76.3,54518443.2,4159757216.16,0,0,76.3
AB00,2012,7,73.1,55802736,4079180001.6,0,0,73.1
AB00,2012,8,54.6,62578897.92,3416807826.432,0,0,54.6
AB00,2012,9,60.15,75997872,4571272000.8,0,0,60.150000000000006
AB00,2012,10,70.44999999999999,64029761.28,4510896682.176,0,0,70.44999999999999
AB00,2012,11,65.2,68462910.72,4463781778.944,4423840000,86000000,57.53887284342896
AB00,2012,12,NA,191957497.92,NA,0,0,NA
AB00,2013,1,73.7,37454607.36,2760404562.432,2511122000,73900000,47.33999506091025
AB00,2013,2,63.85,47423810.88,3028010324.688,0,0,63.85
AB00,2013,3,47.53333333333333,41067976.32,1952097807.744,903925000,47500000,32.24667567682775
AB00,2013,4,53.95,33562071.36,1810673749.872,0,0,53.95
AB00,2013,5,43.34,76160200.32000001,3300783081.8688006,0,0,43.34
AB00,2013,6,32.05,121530179.52,3895042253.6159997,0,0,32.05
AB00,2013,7,27.433333333333334,175744693.44,4821262756.7039995,0,0,27.43333333333333
AB00,2013,8,32.2,164016671.04,5281336807.488,0,0,32.2
AB00,2013,9,42.2,118683377.28,5008438521.216001,0,0,42.2
AB00,2013,10,51.55,203862666.23999998,10509120444.671999,0,0,51.55
AB00,2013,11,55.5,235302045.12,13059263504.16,0,0,55.5
AB00,2013,12,60.25,21473147.52,1293757138.08,172886000,3710000,58.23907186006906
AB00,2014,1,62.14,30090294.72,1869810913.9008,0,0,62.14
AB00,2014,2,46.8,10130400,474102720,11302308000,417300000,27.551645180127572
AB00,2014,3,42.725,55652495.04,2377752850.584,0,0,42.725
AB00,2014,4,25.092,43982663.04,1103612980.9996798,0,0,25.091999999999995
AB00,2014,5,25.15,52545965.76,1321531038.8639998,0,0,25.15
AB00,2014,6,23.3,51069960,1189930068,0,0,23.3
AB00,2014,7,21,30777667.2,646331011.1999999,0,0,20.999999999999996
AB00,2014,8,20.6,14990019.84,308794408.704,0,0,20.6
AB00,2014,9,23.15,13910875.2,322036760.87999994,0,0,23.149999999999995
AB00,2014,10,46.85,23787639.36,1114450904.016,3567276000.0000005,39400000,74.09244832431102
AB00,2014,11,61.4,8407022.4,516191175.36,3614940000,133000000,29.214469728909304
AB00,2014,12,65.9,16607211.84,1094415260.256,4180700000,194000000,25.047172953714178
AB00,2015,1,52.8,21230553.6,1120973230.08,1057260000,80400000,21.43285806208577
AB00,2015,2,57.625,12573455.04,724545346.68,421738000,33000000,25.152434584428644
AB00,2015,3,57.425,14456664,830173930.1999999,0,0,57.425
AB00,2015,4,39.63333333333333,5954281.92,235988040.096,99177000,3900000,34.01212212284667
AB00,2015,5,27.8,6863244.48,190798196.54400003,155466097.28395417,10263528,20.217720194059247
AB00,2015,6,45.1,5154943.68,232487959.968,130849986.71349871,39138552,8.20296391385424
AB00,2015,7,15.1,5397096.96,81496164.096,0,0,15.1
AB00,2015,10,37.4,7374602.880000001,275810147.712,0,0,37.4
AB00,2015,11,62.8,2461371.84,154574151.552,0,0,62.8
AB00,2015,12,88.69999999999999,8304647.04,736622192.448,0,0,88.69999999999999
AB00,2016,1,34.2253164556962,344440753.92,11788593803.150583,0,0,34.2253164556962
AB00,2016,2,20.96923076923077,25169901.12,527793465.02400005,0,0,20.96923076923077
AB00,2016,3,14.756060606060606,192137711.04,2835195708.816,0,0,14.756060606060606
AB00,2016,4,14.675,26865924.48,394257441.744,0,0,14.675
AB00,2016,5,37.75,32765904,1236912876,0,0,37.75
AB00,2016,6,23.85,10289090.88,245394817.48800004,0,0,23.85
AB00,2016,7,3.3,4323732.48,14268317.184,0,0,3.3
AB00,2016,8,3.1,2053840.32,6366904.992000001,0,0,3.1
AB00,2016,9,23.7,2168138.88,51384891.45599999,0,0,23.7
AB00,2016,10,31.790909090909093,17809148.16,566169010.141091,0,0,31.790909090909096
AB00,2016,11,21.146428571428572,24754645.44,523472341.60800004,0,0,21.146428571428572
AB00,2016,12,7.4239999999999995,127357522.55999999,945502247.4854399,0,0,7.4239999999999995
AB00,2017,1,14.919140625,708411407.04,10568889401.983875,0,0,14.919140625
AB00,2017,2,110.86,1990707062.4,220689784937.664,0,0,110.86
AB00,2017,3,50.275,154905583.68,7787878219.512,0,0,50.275
AB00,2017,4,80.86666666666666,33929418.24,2743758955.008,0,0,80.86666666666666
AB00,2017,5,53.95,46908469.44,2530711926.288,0,0,53.95
AB00,2017,6,34.1,16408457.28,559528393.248,0,0,34.1
AB00,2017,8,34.1,13084234.56,446172398.49600005,0,0,34.1
AB00,2017,9,39.4,24100493.76,949559454.144,0,0,39.4
AB00,2017,10,34.5,18058913.28,623032508.1600001,0,0,34.5
AB00,2017,11,49.3,9092217.6,448246327.67999995,0,0,49.3
AB00,2018,1,11.45,102494790.72,1173565353.744,0,0,11.45
AB00,2018,2,46.5,31477014.72,1463681184.48,0,0,46.5
AB00,2018,3,15.423553719008265,506065726.08,7805331911.543801,0,0,15.423553719008265
AB00,2018,4,32.525,19415073.6,631475268.84,0,0,32.525
AB00,2018,5,13.575000000000001,18431133.12,250202632.10400003,0,0,13.575000000000001
AB00,2018,6,10,18507553.92,185075539.20000002,0,0,10
AB00,2018,7,0.8,47817950.4,38254360.32,0,0,0.8
GV01,2001,11,1.2,240271626.24,288325951.488,0,0,1.2
GV01,2002,2,0.25,154607149.44,38651787.36,0,0,0.25
GV01,2002,3,0.25,154658600.64000002,38664650.160000004,0,0,0.25
GV01,2002,4,0.6,100468002.24,60280801.344,0,0,0.6
GV01,2002,5,0.8,51396370.56,41117096.44800001,0,0,0.8
GV01,2002,7,0.25,16064784,4016196,0,0,0.25
GV01,2002,8,0.25,6170437.44,1542609.36,0,0,0.25
GV01,2002,9,0.25,6109413.12,1527353.28,0,0,0.25
GV01,2002,10,0.25,13640114.88,3410028.72,0,0,0.25
GV01,2002,11,0.3333333333333333,21361155.84,7120385.279999999,975942000,47700000,14.23466452773461
GV01,2002,12,0.7,52205869.44,36544108.607999995,69276628000,534800000,118.07918066429615
GV01,2003,1,0.25,50040979.2,12510244.8,0,0,0.25
GV01,2003,2,2.2142857142857144,83149009.92,184115664.82285717,3357458000,136300000,16.13848094422452
GV01,2003,3,0.2909090909090909,118699214.4,34530680.552727275,23969660000,578000000,34.454166424208225
GV01,2003,4,0.43333333333333335,97432312.32000001,42220668.672000006,93492000,63600000,0.842766688975531
GV01,2003,5,0.40714285714285714,121065338.88,49290887.972571425,335238000,94700000,1.7821624639462177
GV01,2003,6,0.55,60550027.2,33302514.960000005,0,0,0.55
GV01,2003,7,0.6666666666666666,12646895.040000001,8431263.36,0,0,0.6666666666666665
GV01,2003,8,1.2,5600957.76,6721149.312,0,0,1.2
GV01,2003,9,0.625,7899811.2,4937382,0,0,0.625
GV01,2003,10,1.3,7716522.24,10031478.912,20966400.000000004,1170000,3.4881901012380747
GV01,2003,11,2.0166666666666666,15013373.76,30276970.415999997,185502000,12900000,7.7303077826161
GV01,2003,12,1.490909090909091,33120627.84,49379845.14327273,0,0,1.490909090909091
GV01,2004,1,0.6333333333333333,37109793.6,23502869.28,0,0,0.6333333333333333
GV01,2004,2,0.25,17428167.36,4357041.84,20914565000,482900000,41.81040246488512
GV01,2004,3,0.425,53590386.24,22775914.152,66120000,19000000,1.2246237932677513
GV01,2004,4,0.4375,25816596.48,11294760.96,0,0,0.4375
GV01,2004,5,4.45,23523765.12,104680754.78400001,0,0,4.45
GV01,2004,6,0.25,21785578.56,5446394.64,0,0,0.25
GV01,2004,7,0.525,16968536.64,8908481.736000001,0,0,0.525
GV01,2004,8,0.25,508775.04,127193.76,0,0,0.25
GV01,2004,9,0.5333333333333333,614459.52,327711.744,0,0,0.5333333333333333
GV01,2004,10,9.420454545454545,6878934.72,64802691.850909084,3406698000,136200000,24.262835746187957
GV01,2004,11,13.6,39059504.64,531209263.104,0,0,13.6
GV01,2004,12,12.1,17007468.48,205790368.608,223335335999.99997,2673600000,83.08202849629815
GV01,2005,1,79.335,1220927160.96,96862256314.7616,378246431999.99994,5550400000,70.1647811457102
GV01,2005,2,50.199999999999996,680831913.6,34177762062.719997,167398000000,3080000000,53.59871610687451
GV01,2005,3,45.148275862068964,1870782454.08,84462602314.7222,43499520000,944000000,45.46075030744999
GV01,2005,4,22.514285714285712,755235334.08,17003584093.001143,817887000,49300000,22.15125966267262
GV01,2005,5,10.56,542617824.96,5730044231.5776005,1000110000,55500000,11.252221469954835
GV01,2005,6,0.5375,1155457569.6,621058443.66,0,0,0.5375
GV01,2005,7,0.9,709479864,638531877.6,0,0,0.9
GV01,2005,8,1.025,121951509.12,125000296.84799999,0,0,1.025
GV01,2005,9,2.8,213070780.8,596598186.24,0,0,2.8
GV01,2005,10,7.373333333333333,158907398.4,1171677217.536,0,0,7.373333333333333
GV01,2005,11,4.9363636363636365,89055408.96,439609882.41163635,1391916000,38600000,14.347420899223575
GV01,2005,12,2.2,136385665.92,300048465.024,25690302500,342250000,54.30090738237646
GV01,2006,1,5.3,182678258.88,968194772.0639999,0,0,5.3
GV01,2006,2,22.52,132792117.12,2990478477.5424,3242280000,123000000,24.366499436018273
GV01,2006,3,2.7625,84886807.68,234499806.21600002,1142720000,255600000,4.044855116707939
GV01,2006,4,4.014285714285714,624044476.8,2505092828.2971425,39302200000,1340000000,21.28632692494489
GV01,2006,5,1.7038461538461538,345951682.56,589448443.7464615,0,0,1.7038461538461538
GV01,2006,6,3.325,134119126.08,445946094.216,0,0,3.325
GV01,2006,7,1.25,80641630.08,100802037.6,0,0,1.25
GV01,2006,8,2.05,64469088,132161630.39999999,0,0,2.05
GV01,2006,9,0.675,62389440,42112872,0,0,0.675
GV01,2006,10,2.4333333333333336,2079648,5060476.800000001,0,0,2.4333333333333336
GV01,2006,11,2.775,NA,NA,0,0,NA
GV01,2006,12,0.725,NA,NA,0,0,NA
GV01,2007,1,1.153448275862069,NA,NA,0,0,NA
GV01,2007,2,1.19,NA,NA,0,0,NA
GV01,2007,3,0.6166666666666667,NA,NA,0,0,NA
GV01,2007,4,1.925,NA,NA,0,0,NA
GV01,2007,5,0.25,NA,NA,0,0,NA
GV01,2007,6,1,NA,NA,0,0,NA
GV01,2007,7,14.625,NA,NA,0,0,NA
GV01,2007,8,0.525,NA,NA,0,0,NA
GV01,2007,9,0.25,NA,NA,0,0,NA
GV01,2007,10,1.05,180610205.76,189640716.048,0,0,1.05
GV01,2007,11,1.175,495184371.84,581841636.912,0,0,1.175
GV01,2008,2,49.4,3157846248.96,155997604698.624,0,0,49.4
GV01,2008,3,1.7666666666666666,2358340954.56,4166402353.0559998,0,0,1.7666666666666666
GV01,2008,4,1.05,1849712336.6399999,1942197953.472,0,0,1.05
GV01,2008,5,0.5,1871879060.16,935939530.08,0,0,0.5
GV01,2008,6,0.25,207904743.36,51976185.84,0,0,0.25
GV01,2008,7,1.25,NA,NA,0,0,NA
GV01,2008,8,1.525,NA,NA,0,0,NA
GV01,2008,9,2,NA,NA,0,0,NA
GV01,2008,10,2.05,749952.0000000001,1537401.6,0,0,2.05
GV01,2008,11,1.3,35043943.68,45557126.784,0,0,1.3
GV01,2008,12,7.071428571428571,33070317.12,233854385.34857142,0,0,7.071428571428571
GV01,2009,1,0.5875,17996955.84,10573211.556,0,0,0.5875
GV01,2009,2,8.62748344370861,536461773.12,4628315065.775364,0,0,8.62748344370861
GV01,2009,3,1.65,135897454.07999998,224230799.23199996,0,0,1.65
GV01,2009,4,0.75,41716805.76,31287604.32,0,0,0.75
GV01,2009,5,2.225,18065384.64,40195480.824,0,0,2.225
GV01,2009,6,1.175,8650195.2,10163979.36,0,0,1.175
GV01,2009,7,0.6666666666666666,1551312,1034208,0,0,0.6666666666666666
GV01,2009,8,0.25,749952.0000000001,187488.00000000003,0,0,0.25
GV01,2009,9,0.25,701568.0000000001,175392.00000000003,0,0,0.25
GV01,2009,10,0.25,757684.8,189421.2,937368000,83100000,11.180339922764002
GV01,2009,11,0.25,2331365.76,582841.44,0,0,0.25
GV01,2009,12,0.25,101971837.44,25492959.36,0,0,0.25
GV01,2010,1,0.25,437709968.64,109427492.16,140795600000,4840000000,26.69813770165727
GV01,2010,2,6.283333333333333,4126081317.1200004,25925544275.904003,0,0,6.283333333333333
GV01,2010,3,0.5,778299468.48,389149734.24,0,0,0.5
GV01,2010,4,2.75,396092574.72,1089254580.48,0,0,2.75
GV01,2010,5,15.425,242217285.12,3736201622.9760003,0,0,15.425
GV01,2010,6,0.25,125487532.8,31371883.2,0,0,0.25
GV01,2010,7,0.25,62491858.56,15622964.64,0,0,0.25
GV01,2010,8,0.25,15021979.2,3755494.8,0,0,0.25
GV01,2011,1,0.25,NA,NA,0,0,NA
GV01,2011,2,2.042307692307692,NA,NA,0,0,NA
GV01,2011,3,9.700000000000001,NA,NA,0,0,NA
GV01,2011,4,0.25,NA,NA,0,0,NA
GV01,2011,5,0.25,NA,NA,0,0,NA
GV01,2011,6,0.25,NA,NA,0,0,NA
GV01,2011,7,0.25,NA,NA,0,0,NA
GV01,2011,8,0.25,NA,NA,0,0,NA
GV01,2011,9,0.25,NA,NA,0,0,NA
GV01,2011,10,0.25,149939078.4,37484769.6,0,0,0.25
GV01,2011,11,1.1,188750736,207625809.60000002,0,0,1.1
GV01,2011,12,0.25,132333238.08,33083309.52,0,0,0.25
GV01,2012,1,0.3875,158806275.84,61537431.888000004,0,0,0.3875
GV01,2012,2,6.800000000000001,78776953.92,535683286.6560001,0,0,6.800000000000001
GV01,2012,3,0.25,106153208.64,26538302.16,0,0,0.25
GV01,2012,4,0.25,106094525.76,26523631.44,0,0,0.25
GV01,2012,5,0.43333333333333335,27155554.56,11767406.976,0,0,0.43333333333333335
GV01,2012,7,1.2000000000000002,8502848.64,10203418.368000003,0,0,1.2000000000000002
GV01,2012,8,4.2,601672.32,2527023.744,0,0,4.2
GV01,2012,9,0.675,0,0,0,0,NA
GV01,2012,10,0.375,9537315.84,3576493.44,0,0,0.375
GV01,2012,11,1.35,24313366.08,32823044.208,0,0,1.35
GV01,2012,12,NA,54618433.92,NA,0,0,NA
GV01,2013,1,0.25,52254434.88,13063608.72,0,0,0.25
GV01,2013,2,0.3125,23975421.12,7492319.100000001,0,0,0.3125
GV01,2013,3,0.25,38624973.12,9656243.28,0,0,0.25
GV01,2013,4,0.3125,8630210.88,2696940.9000000004,0,0,0.3125
GV01,2013,5,0.25,2375075.52,593768.88,0,0,0.25
GV01,2013,6,0.25,1661472,415368,0,0,0.25
GV01,2013,7,0.25,111611.52,27902.88,0,0,0.25
GV01,2014,2,0.25,34509049.92,8627262.48,23546250000,575000000,38.645656312357715
GV01,2014,3,0.3333333333333333,186025135.68,62008378.56,0,0,0.3333333333333333
GV01,2014,4,0.25,70307032.32,17576758.08,0,0,0.25
GV01,2014,5,0.25,34012275.84,8503068.96,0,0,0.25
GV01,2014,6,0.25,1992565.44,498141.36,0,0,0.25
GV01,2014,12,0.25,46128623.04,11532155.76,1170455593.4038014,91110636,8.612606607117408
GV01,2015,1,0.4125,68279284.8,28165204.979999997,0,0,0.4125
GV01,2015,2,0.25,69182009.28,17295502.32,0,0,0.25
GV01,2015,3,0.25,29901735.36,7475433.84,0,0,0.25
GV01,2015,4,0.25,7490638.08,1872659.52,0,0,0.25
GV01,2015,5,0.25,1103336.64,275834.16,0,0,0.25
GV01,2016,2,0.525,46463163.839999996,24393161.016,0,0,0.525
GV01,2016,3,4.472807017543859,306165614.40000004,1369419708.6189475,0,0,4.472807017543859
GV01,2016,4,0.25,37383456.96,9345864.24,0,0,0.25
GV01,2016,5,0.25,21245924.16,5311481.04,0,0,0.25
GV01,2017,1,82.60000000000001,NA,NA,0,0,NA
GV01,2017,2,128.05,NA,NA,0,0,NA
GV01,2017,3,20.1375,NA,NA,0,0,NA
GV01,2017,4,0.7000000000000001,NA,NA,0,0,NA
GV01,2017,5,0.25,NA,NA,0,0,NA
GV01,2017,6,0.25,NA,NA,0,0,NA
GV01,2017,8,0.25,NA,NA,0,0,NA
GV01,2017,9,0.5,NA,NA,0,0,NA
HO00,2000,11,9.775,NA,NA,0,0,NA
HO00,2000,12,0.25,NA,NA,0,0,NA
HO00,2001,1,11.366666666666667,NA,NA,0,0,NA
HO00,2001,3,22.6,NA,NA,0,0,NA
HO00,2001,4,11.2,NA,NA,0,0,NA
HO00,2001,5,14.2,NA,NA,0,0,NA
HO00,2001,6,26.7,NA,NA,0,0,NA
HO00,2001,7,27.9,NA,NA,0,0,NA
HO00,2001,8,30.6,NA,NA,0,0,NA
HO00,2001,12,2,9176302.08,18352604.16,522720000,36300000,11.89790241097809
HO00,2002,5,7.25,27379684.8,198502714.8,0,0,7.25
HO00,2002,6,9.600000000000001,29566823.04,283841501.184,0,0,9.600000000000001
HO00,2002,7,10.8,22310735.04,240955938.432,0,0,10.8
HO00,2002,8,11.133333333333333,15450168.959999999,172011881.08799997,0,0,11.133333333333333
HO00,2002,9,10.25,18292366.08,187496752.32,0,0,10.25
HO00,2002,10,9.25,15954330.24,147577554.72,0,0,9.25
HO00,2002,11,8.3,7327212.48,60815863.58400001,2243460000,53800000,37.69640018081845
HO00,2002,12,7.7,11184505.92,86120695.584,42762180000,402000000,103.70258342620477
HO00,2003,1,4.5,8860829.76,39873733.92,0,0,4.5
HO00,2003,2,2.8,38024579.52,106468822.656,203342000,34700000,4.260056568230811
HO00,2003,6,2.4,35407704.96,84978491.904,0,0,2.4
HO00,2003,7,5.3,17397201.6,92205168.48,0,0,5.3
HO00,2003,8,8.2,2683601.28,22005530.495999996,0,0,8.2
HO00,2003,9,6.65,9393338.88,62465703.55200001,0,0,6.65
HO00,2003,10,8.9,14798609.28,131707622.592,0,0,8.9
HO00,2003,11,5.125,15133322.88,77558279.76,264547200,8160000,14.686847450766113
HO00,2003,12,7.6,19268133.12,146437811.712,87152000.00000001,20800000,5.829815205325942
HO00,2004,5,6.6,17463487.68,115259018.688,0,0,6.6
HO00,2004,6,6.25,23776986.24,148606164,0,0,6.25
HO00,2004,7,3.175,17241517.44,54741817.872,0,0,3.175
HO00,2004,8,5.2,13939940.16,72487688.832,0,0,5.2
HO00,2004,9,4.933333333333334,13025724.48,64260240.76800001,0,0,4.933333333333334
HO00,2004,10,7.4,14118727.68,104478584.832,2927400000,81600000,31.67487343718106
HO00,2004,11,3.6,24075204.48,86670736.128,0,0,3.6
HO00,2005,1,60,484913494.08,29094809644.8,361645588000,2775200000,119.85484503970204
HO00,2005,4,27.933333333333334,170337591.35999998,4758096718.655999,29064000,17300000,25.512802013490948
HO00,2005,6,16.1,46988441.28,756513904.608,0,0,16.1
HO00,2005,7,1.825,24988374.72,45603783.864,0,0,1.8250000000000002
HO00,2005,8,4.5,17309514.240000002,77892814.08000001,0,0,4.5
