site_code,Year,Month,mean_nh4_uM,cum_Q_L,c_x_Q,cum_nh4_storms,cum_Q_storms,vwm_monthly
AB00,2010,1,1.7130434782608697,740631764.16,1268734413.3871305,0,0,1.7130434782608697
AB00,2010,2,7.1571428571428575,634861566.72,4543794927.524571,0,0,7.157142857142857
AB00,2010,3,7.166666666666666,215693305.92,1545802025.7599998,0,0,7.166666666666666
AB00,2010,4,2.4863636363636363,240912135.36,598995172.9178182,0,0,2.4863636363636363
AB00,2010,5,0.25,190839032.64000002,47709758.160000004,0,0,0.25
AB00,2010,6,NA,29969861.76,NA,0,0,NA
AB00,2010,7,0.25,9597666.24,2399416.56,0,0,0.25
AB00,2010,8,1.5,13852797.12,20779195.68,0,0,1.5
AB00,2010,10,2,82904886.71999998,165809773.43999997,0,0,2
AB00,2010,11,0.4,90409841.28,36163936.512,0,0,0.4
AB00,2011,1,0.25,576942108.48,144235527.12,0,0,0.25
AB00,2011,2,0.475,149445768.96,70986740.256,8888950,10900000,0.4981465415275526
AB00,2011,3,0.25,37289972.160000004,9322493.040000001,1374516000,1980000000,0.6859888821824975
AB00,2011,4,6.3,366005511.36,2305834721.568,0,0,6.299999999999999
AB00,2011,5,10.05,307292736.96,3088292006.448,0,0,10.05
AB00,2011,6,1.2,260623811.52,312748573.824,0,0,1.2
AB00,2011,7,2.2,149828512.32,329622727.10400003,0,0,2.2
AB00,2011,8,1,92326011.84,92326011.84,0,0,1
AB00,2011,9,0.45,69867524.16,31440385.871999998,0,0,0.45
AB00,2011,10,7.85,108031397.75999999,848046472.4159999,0,0,7.85
AB00,2011,11,10.6,68652299.52,727714374.912,50553880,76400000,5.3654320371852595
AB00,2011,12,7.691666666666666,81783060.48,629048040.192,0,0,7.691666666666666
AB00,2012,1,6.6,43714607.04,288516406.464,288887500,125000000,3.42237057356335
AB00,2012,2,6.75,55140557.76,372198764.88,0,0,6.75
AB00,2012,3,1.2366666666666666,132873393.60000001,164320096.752,303331540,95800000,2.0450636140469642
AB00,2012,4,1.3041666666666667,55022872.32,71758995.984,92780610,65900000,1.3606987894612395
AB00,2012,5,5.166666666666667,55777127.04,288181823.04,0,0,5.166666666666667
AB00,2012,6,0.25,54518443.2,13629610.8,0,0,0.25
AB00,2012,7,0.25,55802736,13950684,0,0,0.25
AB00,2012,8,0.25,62578897.92,15644724.48,0,0,0.25
AB00,2012,9,0.25,75997872,18999468,0,0,0.25
AB00,2012,10,0.25,64029761.28,16007440.32,0,0,0.25
AB00,2012,11,21.2,68462910.72,1451413707.264,144445600,86000000,10.331666675353972
AB00,2012,12,NA,191957497.92,NA,0,0,NA
AB00,2013,1,1.95625,112737813.12,220543346.916,0,0,1.95625
AB00,2013,2,2.7,47423810.88,128044289.37600002,0,0,2.7
AB00,2013,3,4.699999999999999,41067976.32,193019488.70399997,27778000,47500000,2.492972041116181
AB00,2013,4,5.4125,33562071.36,181654711.23599997,0,0,5.4125
AB00,2013,5,0.25,76160200.32000001,19040050.080000002,0,0,0.25
AB00,2013,6,0.25,121530179.52,30382544.88,0,0,0.25
AB00,2013,7,0.25,175744693.44,43936173.36,0,0,0.25
AB00,2013,8,0.25,164016671.04,41004167.76,0,0,0.25
AB00,2013,9,0.25,118683377.28,29670844.32,0,0,0.25
AB00,2013,10,0.25,203862666.23999998,50965666.559999995,0,0,0.25
AB00,2013,11,0.25,235302045.12,58825511.28,0,0,0.25
AB00,2013,12,0.25,25648211.52,6412052.88,0,0,0.25
AB00,2014,1,0.25,30090294.72,7522573.68,0,0,0.25
AB00,2014,2,0.25,10130400,2532600,277787580,417300000,0.6558264924535082
AB00,2014,3,0.25,55652495.04,13913123.76,0,0,0.25
AB00,2014,4,1.906,43982663.04,83830955.75423999,0,0,1.906
AB00,2014,5,0.25,52545965.76,13136491.44,0,0,0.25
AB00,2014,6,0.25,51069960,12767490,0,0,0.25
AB00,2014,7,0.25,30777667.2,7694416.8,0,0,0.25
AB00,2014,8,0.25,14990019.84,3747504.96,0,0,0.25
AB00,2014,9,0.25,13910875.2,3477718.8,0,0,0.25
AB00,2014,10,7.271428571428571,57024025.919999994,414646131.3325714,0,0,7.271428571428571
AB00,2014,11,0.25,16233203.520000001,4058300.8800000004,0,0,0.25
AB00,2014,12,0.6236111111111111,148847993.28,92823262.476,346115400,194000000,1.280271931233163
AB00,2015,1,0.25,21230553.6,5307638.4,138336240,80400000,1.4133926591146702
AB00,2015,2,0.25,36500742.72,9125185.68,0,0,0.25
AB00,2015,3,0.3466666666666667,24672712.32,8553206.9376,0,0,0.3466666666666667
AB00,2015,4,0.25,10118001.6,2529500.4,0,0,0.25
AB00,2015,5,0.4666666666666667,6863244.48,3202847.424,17725270,10300000,1.219356715939526
AB00,2015,6,0.6928571428571428,44583151.68000001,30889755.092571434,0,0,0.6928571428571428
AB00,2015,7,0.25,5397096.96,1349274.24,0,0,0.25
AB00,2015,10,0.25,7374602.880000001,1843650.7200000002,0,0,0.25
AB00,2015,11,0.25,2461371.84,615342.96,0,0,0.25
AB00,2015,12,0.25,8304647.04,2076161.76,0,0,0.25
AB00,2016,1,1.0329113924050632,344440753.92,355776778.73255694,0,0,1.0329113924050632
AB00,2016,2,1.676923076923077,25169901.12,42207988.032000005,0,0,1.676923076923077
AB00,2016,3,0.7712121212121212,192137711.04,148178931.696,0,0,0.7712121212121213
AB00,2016,4,0.45714285714285713,26865924.48,12281565.476571428,0,0,0.45714285714285713
AB00,2016,5,0.25,32765904,8191476,0,0,0.25
AB00,2016,6,0.25,10289090.88,2572272.72,0,0,0.25
AB00,2016,7,0.25,4323732.48,1080933.12,0,0,0.25
AB00,2016,8,0.25,2053840.32,513460.08,0,0,0.25
AB00,2016,9,0.25,2168138.88,542034.72,0,0,0.25
AB00,2016,10,0.25,17809148.16,4452287.04,0,0,0.25
AB00,2016,11,0.9142857142857143,24754645.44,22632818.688,0,0,0.9142857142857143
AB00,2016,12,0.276,127357522.55999999,35150676.22656,0,0,0.276
AB00,2017,1,1.286328125,708411407.04,911249516.946375,0,0,1.286328125
AB00,2017,2,0.25,1990707062.4,497676765.6,0,0,0.25
AB00,2017,3,0.25,154905583.68,38726395.92,0,0,0.25
AB00,2017,4,0.25,33929418.24,8482354.56,0,0,0.25
AB00,2017,5,0.325,46908469.44,15245252.568,0,0,0.325
AB00,2017,6,0.25,16408457.28,4102114.32,0,0,0.25
AB00,2017,8,3.9,13084234.56,51028514.784,0,0,3.9
AB00,2017,9,1.8,24100493.76,43380888.76800001,0,0,1.8
AB00,2017,10,0.5,18058913.28,9029456.64,0,0,0.5
AB00,2017,11,0.25,9092217.6,2273054.4,0,0,0.25
AB00,2018,1,0.6034883720930232,102494790.72,61854414.3996279,0,0,0.6034883720930232
AB00,2018,2,0.25,31477014.72,7869253.68,0,0,0.25
AB00,2018,3,1.5640495867768596,506065726.08,791511889.7573553,0,0,1.5640495867768596
AB00,2018,4,0.25,19415073.6,4853768.4,0,0,0.25
AB00,2018,5,0.25,18431133.12,4607783.28,0,0,0.25
AB00,2018,6,0.25,18507553.92,4626888.48,0,0,0.25
AB00,2018,7,0.25,47817950.4,11954487.6,0,0,0.25
GV01,2001,11,0.25,240271626.24,60067906.56,0,0,0.25
GV01,2002,2,0.25,154607149.44,38651787.36,0,0,0.25
GV01,2002,3,0.25,154658600.64000002,38664650.160000004,0,0,0.25
GV01,2002,4,0.25,100468002.24,25117000.56,0,0,0.25
GV01,2002,5,0.25,51396370.56,12849092.64,0,0,0.25
GV01,2002,7,0.25,16064784,4016196,0,0,0.25
GV01,2002,8,0.25,6170437.44,1542609.36,0,0,0.25
GV01,2002,9,0.25,6109413.12,1527353.28,0,0,0.25
GV01,2002,10,0.25,13640114.88,3410028.72,0,0,0.25
GV01,2002,11,0.26666666666666666,21361155.84,5696308.223999999,131666310,47700000,1.988999699660978
GV01,2002,12,0.25,52205869.44,13051467.36,11124080,534800000,0.04118450703578709
GV01,2003,1,0.25,50040979.2,12510244.8,0,0,0.25
GV01,2003,2,0.25,104148633.6,26037158.4,7782600,119000000,0.1515570938275286
GV01,2003,3,0.25,118699214.4,29674803.6,157794000,578000000,0.26908140518207535
GV01,2003,4,0.25,97432312.32000001,24358078.080000002,9444600,63600000,0.20991239331413208
GV01,2003,5,0.25,121065338.88,30266334.72,40560010,94700000,0.3282563598381794
GV01,2003,6,0.575,60550027.2,34816265.64,0,0,0.575
GV01,2003,7,0.26666666666666666,12646895.040000001,3372505.344,0,0,0.26666666666666666
GV01,2003,8,0.25,5600957.76,1400239.44,0,0,0.25
GV01,2003,9,0.325,7899811.2,2567438.64,0,0,0.325
GV01,2003,10,0.425,7716522.24,3279521.952,555516,1170000,0.43155667070046067
GV01,2003,11,0.30476190476190473,15013373.76,4575504.384,6666720.000000001,12900000,0.40275405189859786
GV01,2003,12,0.25,33120627.84,8280156.96,0,0,0.25
GV01,2004,1,0.25,37109793.6,9277448.4,0,0,0.25
GV01,2004,2,0.25,27571380.48,6892845.12,171659750,475700000,0.3547839238339039
GV01,2004,3,0.25,53590386.24,13397596.56,6667100,19000000,0.2764098333030167
GV01,2004,4,0.25,25816596.48,6454149.12,0,0,0.25
GV01,2004,5,0.375,23523765.12,8821411.92,0,0,0.375
GV01,2004,6,0.25,21785578.56,5446394.64,0,0,0.25
GV01,2004,7,0.25,16968536.64,4242134.16,0,0,0.25
GV01,2004,8,0.55,508775.04,279826.272,0,0,0.55
GV01,2004,9,0.38333333333333336,614459.52,235542.81600000002,0,0,0.38333333333333336
GV01,2004,10,27.422727272727272,6878934.72,188639150.75345454,22512221640,136200000,158.6596995230512
GV01,2004,11,50.785714285714285,39059504.64,1983664842.7885714,0,0,50.785714285714285
GV01,2004,12,10.933333333333334,17007468.48,185948322.048,6460563920,2673600000,2.470264548028926
GV01,2005,1,0.6075,1220927160.96,741713250.2832,4623698560,5550400000,0.7923722606725331
GV01,2005,2,0.3392857142857143,680831913.6,230996542.11428574,3516744000,3080000000,0.9965190224433129
GV01,2005,3,0.4413793103448276,1870782454.08,825724669.3870344,891136000,944000000,0.6099443553438603
GV01,2005,4,0.7142857142857143,755235334.08,539453810.0571429,66111300,49300000,0.7526892659719128
GV01,2005,5,0.985,542617824.96,534478557.5856,11111100,55500000,0.9121775590320972
GV01,2005,6,0.2625,1155457569.6,303307612.02,0,0,0.2625
GV01,2005,7,0.3,709479864,212843959.2,0,0,0.3
GV01,2005,8,0.325,121951509.12,39634240.464,0,0,0.325
GV01,2005,9,0.275,213070780.8,58594464.720000006,0,0,0.275
GV01,2005,10,1.79,158907398.4,284444243.13600004,0,0,1.7900000000000003
GV01,2005,11,0.6363636363636364,89055408.96,56671623.883636355,10557100,38600000,0.5266421879914391
GV01,2005,12,0.425,136385665.92,57963908.015999995,138900775,342250000,0.4113038309370458
GV01,2006,1,0.58,182678258.88,105953390.15039998,0,0,0.58
GV01,2006,2,0.39,132792117.12,51788925.676800005,29999700,123000000,0.3197464667702423
GV01,2006,3,0.875,84886807.68,74275956.72,188884080,255600000,0.772893488922854
GV01,2006,4,1.7857142857142858,624044476.8,1114365137.142857,1598888000,1340000000,1.3814621660521333
GV01,2006,5,0.9615384615384616,345951682.56,332645848.61538464,0,0,0.9615384615384616
GV01,2006,6,0.825,134119126.08,110648279.01599999,0,0,0.825
GV01,2006,7,0.95,80641630.08,76609548.57599999,0,0,0.9499999999999998
GV01,2006,8,0.375,64469088,24175908,0,0,0.375
GV01,2006,9,0.325,62389440,20276568,0,0,0.325
GV01,2006,10,0.7166666666666667,2079648,1490414.4,0,0,0.7166666666666667
GV01,2006,11,0.575,NA,NA,0,0,NA
GV01,2006,12,1.275,NA,NA,0,0,NA
GV01,2007,1,0.30517241379310345,NA,NA,0,0,NA
GV01,2007,2,0.302,NA,NA,0,0,NA
GV01,2007,3,0.5,NA,NA,0,0,NA
GV01,2007,4,0.6535714285714286,NA,NA,0,0,NA
GV01,2007,5,0.8,NA,NA,0,0,NA
GV01,2007,6,1.1,NA,NA,0,0,NA
GV01,2007,7,0.275,NA,NA,0,0,NA
GV01,2007,8,0.425,NA,NA,0,0,NA
GV01,2007,9,0.3,NA,NA,0,0,NA
GV01,2007,10,0.7,180610205.76,126427144.03199999,0,0,0.7
GV01,2007,11,0.275,495184371.84,136175702.256,0,0,0.275
GV01,2008,2,0.6,3157846248.96,1894707749.376,0,0,0.6
GV01,2008,3,0.25,2358340954.56,589585238.64,0,0,0.25
GV01,2008,4,0.26666666666666666,1849712336.6399999,493256623.104,0,0,0.26666666666666666
GV01,2008,5,0.4,1871879060.16,748751624.0640001,0,0,0.4000000000000001
GV01,2008,6,0.5,207904743.36,103952371.68,0,0,0.5
GV01,2008,7,0.275,NA,NA,0,0,NA
GV01,2008,8,0.9,NA,NA,0,0,NA
GV01,2008,9,0.6,NA,NA,0,0,NA
GV01,2008,10,0.475,749952.0000000001,356227.2,0,0,0.4749999999999999
GV01,2008,11,0.5,35043943.68,17521971.84,0,0,0.5
GV01,2008,12,0.5571428571428572,33070317.12,18424890.966857143,0,0,0.5571428571428572
GV01,2009,1,0.25,17996955.84,4499238.96,0,0,0.25
GV01,2009,2,0.9410596026490067,536461773.12,504842503.04868877,0,0,0.9410596026490067
GV01,2009,3,0.25,135897454.07999998,33974363.519999996,0,0,0.25
GV01,2009,4,0.26875,41716805.76,11211391.547999999,0,0,0.26875
GV01,2009,5,1.175,18065384.64,21226826.952000003,0,0,1.175
GV01,2009,6,0.25,8650195.2,2162548.8,0,0,0.25
GV01,2009,7,0.25,1551312,387828,0,0,0.25
GV01,2009,8,0.25,749952.0000000001,187488.00000000003,0,0,0.25
GV01,2009,9,0.25,701568.0000000001,175392.00000000003,0,0,0.25
GV01,2009,10,0.25,757684.8,189421.2,3598329720,83100000,42.91221668929262
GV01,2009,11,0.25,2331365.76,582841.44,0,0,0.25
GV01,2009,12,0.25,101971837.44,25492959.36,0,0,0.25
GV01,2010,1,0.45263157894736844,5392467656.639999,2440801149.847579,0,0,0.4526315789473685
GV01,2010,2,0.25,4126081317.1200004,1031520329.2800001,0,0,0.25
GV01,2010,3,0.25,778299468.48,194574867.12,0,0,0.25
GV01,2010,4,0.25,396092574.72,99023143.68,0,0,0.25
GV01,2010,5,0.25,242217285.12,60554321.28,0,0,0.25
GV01,2010,6,NA,125487532.8,NA,0,0,NA
GV01,2010,7,NA,62491858.56,NA,0,0,NA
GV01,2010,8,0.25,15021979.2,3755494.8,0,0,0.25
GV01,2011,1,0.25,NA,NA,0,0,NA
GV01,2011,2,1.3269230769230769,NA,NA,0,0,NA
GV01,2011,3,0.25,NA,NA,0,0,NA
GV01,2011,4,0.25,NA,NA,0,0,NA
GV01,2011,5,0.25,NA,NA,0,0,NA
GV01,2011,6,0.25,NA,NA,0,0,NA
GV01,2011,7,0.25,NA,NA,0,0,NA
GV01,2011,8,0.25,NA,NA,0,0,NA
GV01,2011,9,0.25,NA,NA,0,0,NA
GV01,2011,10,0.425,149939078.4,63724108.32,0,0,0.425
GV01,2011,11,0.25,188750736,47187684,0,0,0.25
GV01,2011,12,0.25,132333238.08,33083309.52,0,0,0.25
GV01,2012,1,0.25,158806275.84,39701568.96,0,0,0.25
GV01,2012,2,0.25,78776953.92,19694238.48,0,0,0.25
GV01,2012,3,0.25,106153208.64,26538302.16,0,0,0.25
GV01,2012,4,0.25,106094525.76,26523631.44,0,0,0.25
GV01,2012,5,0.25,27155554.56,6788888.64,0,0,0.25
GV01,2012,7,0.25,8502848.64,2125712.16,0,0,0.25
GV01,2012,8,0.25,601672.32,150418.08,0,0,0.25
GV01,2012,9,0.25,0,0,0,0,NA
GV01,2012,10,0.25,9537315.84,2384328.96,0,0,0.25
GV01,2012,11,0.275,24313366.08,6686175.672,0,0,0.275
GV01,2012,12,NA,54618433.92,NA,0,0,NA
GV01,2013,1,0.25,52254434.88,13063608.72,0,0,0.25
GV01,2013,2,0.25,23975421.12,5993855.28,0,0,0.25
GV01,2013,3,0.25,38624973.12,9656243.28,0,0,0.25
GV01,2013,4,0.25,8630210.88,2157552.72,0,0,0.25
GV01,2013,5,0.25,2375075.52,593768.88,0,0,0.25
GV01,2013,6,0.25,1661472,415368,0,0,0.25
GV01,2013,7,0.25,111611.52,27902.88,0,0,0.25
GV01,2014,2,0.25,34509049.92,8627262.48,952200000,575000000,1.5763953998814484
GV01,2014,3,0.25,186025135.68,46506283.92,0,0,0.25
GV01,2014,4,0.25,70307032.32,17576758.08,0,0,0.25
GV01,2014,5,0.25,34012275.84,8503068.96,0,0,0.25
GV01,2014,6,0.25,1992565.44,498141.36,0,0,0.25
GV01,2014,12,0.25,138856636.8,34714159.2,0,0,0.25
GV01,2015,1,0.25,68279284.8,17069821.2,0,0,0.25
GV01,2015,2,0.25,69182009.28,17295502.32,0,0,0.25
GV01,2015,3,0.25,29901735.36,7475433.84,0,0,0.25
GV01,2015,4,0.25,7490638.08,1872659.52,0,0,0.25
GV01,2015,5,0.25,1103336.64,275834.16,0,0,0.25
GV01,2016,2,0.25,46463163.839999996,11615790.959999999,0,0,0.25
GV01,2016,3,0.3017543859649123,306165614.40000004,92386816.97684212,0,0,0.3017543859649123
GV01,2016,4,0.25,37383456.96,9345864.24,0,0,0.25
GV01,2016,5,0.25,21245924.16,5311481.04,0,0,0.25
GV01,2017,1,0.25,NA,NA,0,0,NA
GV01,2017,2,0.25,NA,NA,0,0,NA
GV01,2017,3,0.25,NA,NA,0,0,NA
GV01,2017,4,0.25,NA,NA,0,0,NA
GV01,2017,5,0.25,NA,NA,0,0,NA
GV01,2017,6,0.25,NA,NA,0,0,NA
GV01,2017,8,0.25,NA,NA,0,0,NA
GV01,2017,9,0.25,NA,NA,0,0,NA
HO00,2000,11,0.325,NA,NA,0,0,NA
HO00,2000,12,0.25,NA,NA,0,0,NA
HO00,2001,1,3.25,NA,NA,0,0,NA
HO00,2001,3,0.25,NA,NA,0,0,NA
HO00,2001,4,0.9875,NA,NA,0,0,NA
HO00,2001,5,1.2,NA,NA,0,0,NA
HO00,2001,6,1.6,NA,NA,0,0,NA
HO00,2001,7,0.25,NA,NA,0,0,NA
HO00,2001,8,0.525,NA,NA,0,0,NA
HO00,2001,12,0.25,9176302.08,2294075.52,1666170.0000000002,36300000,0.0870837191870461
HO00,2002,5,0.2625,27379684.8,7187167.260000001,0,0,0.2625
HO00,2002,6,0.925,29566823.04,27349311.312,0,0,0.925
HO00,2002,7,0.525,22310735.04,11713135.896,0,0,0.525
HO00,2002,8,0.5666666666666667,15450168.959999999,8755095.743999999,0,0,0.5666666666666667
HO00,2002,9,0.65,18292366.08,11890037.952,0,0,0.65
HO00,2002,10,0.525,15954330.24,8376023.376,0,0,0.525
HO00,2002,11,0.25,7327212.48,1831803.12,4998020,53800000,0.11173130334112039
HO00,2002,12,0.25,134978132.16,33744533.04,100548000,280000000,0.32361351751475387
HO00,2003,1,0.25,8860829.76,2215207.44,0,0,0.25
HO00,2003,2,0.25,38024579.52,9506144.88,2220800,34700000,0.1612514634996957
HO00,2003,6,0.325,35407704.96,11507504.112000002,0,0,0.325
HO00,2003,7,0.43333333333333335,17397201.6,7538787.360000001,0,0,0.43333333333333335
HO00,2003,8,0.25,2683601.28,670900.32,0,0,0.25
HO00,2003,9,0.25,9393338.88,2348334.72,0,0,0.25
HO00,2003,10,0.25,14798609.28,3699652.32,0,0,0.25
HO00,2003,11,0.25,15133322.88,3783330.72,0,8160000,0.16242125434359667
HO00,2003,12,0.25,44119909.440000005,11029977.360000001,0,0,0.25
HO00,2004,5,0.25,17463487.68,4365871.92,0,0,0.25
HO00,2004,6,0.475,23776986.24,11294068.463999998,0,0,0.4749999999999999
HO00,2004,7,0.25,17241517.44,4310379.36,0,0,0.25
HO00,2004,8,0.425,13939940.16,5924474.568,0,0,0.425
HO00,2004,9,0.39999999999999997,13025724.48,5210289.791999999,0,0,0.39999999999999997
HO00,2004,10,0.275,14118727.68,3882650.112,720554959.9999999,81600000,7.5683999116023335
HO00,2004,11,0.5,24075204.48,12037602.24,0,0,0.5
HO00,2005,1,0.9,484913494.08,436422144.672,3268974680,2775200000,1.1365852236127927
HO00,2005,4,3.5333333333333337,170337591.35999998,601859489.472,3889040,17300000,3.22828983830759
HO00,2005,6,7.333333333333334,46988441.28,344581902.72,0,0,7.333333333333334
HO00,2005,7,0.325,24988374.72,8121221.784,0,0,0.325
HO00,2005,8,0.275,17309514.240000002,4760116.416000001,0,0,0.275
HO00,2005,9,5.833333333333334,10209283.2,59554152,0,0,5.833333333333334
HO00,2005,10,1.0625,20438585.28,21715996.86,0,0,1.0625
HO00,2005,11,0.25,15510493.44,3877623.36,2222080,8960000,0.24926768947083397
HO00,2005,12,0.4666666666666667,27384289.919999998,12779335.296,0,0,0.46666666666666673
HO00,2006,1,0.3,183829893.12,55148967.936,0,0,0.3
HO00,2006,2,0.3625,30267492.48,10971966.024,28333800,66000000,0.40829739106548296
HO00,2006,5,0.55,139880580.48,76934319.264,0,0,0.55
HO00,2006,6,1.275,56792854.08,72410888.95199999,0,0,1.275
HO00,2006,7,0.6,18145166.4,10887099.839999998,0,0,0.6
