"usgs_site","catchment_area","Date_rct","pctburn_rct","areaburn_rct","Date_lg","pctburn_lg","areaburn_lg","Event_ID_lg","Event_ID_rct","Incid_Name_lg","Incid_Name_rct","number_fires","total_area_burned","number_wwtp","dominant_lulc"
"USGS-08269000",163.2,2003-07-04,0.0397263917960196,6.4833471411104,2003-07-04,0.0397263917960196,6.4833471411104,"NM3642410549020030704","NM3642410549020030704","ENCEBADO","ENCEBADO",1,6.5,NA,"Evergreen Forest"
"USGS-08278500",102.4,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-08284100",1262.1,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Shrub; Scrub"
"USGS-08284200",289.7,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrub; Scrub"
"USGS-08284300",114,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrub; Scrub"
"USGS-08285500",2065.1,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Shrub; Scrub"
"USGS-08302500",32.1,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-08305030",23,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-08315480",35.3,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-08316000",58.3,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-08317200",596.1,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Shrub; Scrub"
"USGS-08317950",1542,1988-03-29,0.00314289115685027,4.84633816386312,1988-03-29,0.00314289115685027,4.84633816386312,"NM3538710592319880329","NM3538710592319880329","UNNAMED","UNNAMED",1,4.8,1,"Shrub; Scrub"
"USGS-08329900",239.1,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Developed; Medium Intensity"
"USGS-083299375",87.5,2007-08-23,0.0864878280852799,7.56768495746199,2007-08-23,0.0864878280852799,7.56768495746199,"NM3518410685520070823","NM3518410685520070823","DOUBLE EAGLE","DOUBLE EAGLE",1,7.6,NA,"Shrub; Scrub"
"USGS-08330505",212.2,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-08330600",337.9,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-08340500",3546.2,2019-08-04,0.00891902332503727,31.6286405152472,2019-08-04,0.00891902332503727,31.6286405152472,"NM3534510752720190804","NM3534510752720190804","TRIPLE NICKLE","TRIPLE NICKLE",1,31.6,NA,"Shrub; Scrub"
"USGS-08349800",287,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrub; Scrub"
"USGS-08354800",3656.3,2008-05-30,0.00203778528245321,7.45075432823369,2008-05-30,0.00203778528245321,7.45075432823369,"NM3444210707520080530","NM3444210707520080530","LADRONE RX","LADRONE RX",1,7.5,NA,"Shrub; Scrub"
"USGS-08377900",139.1,2002-06-15,0.0923321790022114,12.8434060992076,2002-06-15,0.0923321790022114,12.8434060992076,"NM3584910555020020615","NM3584910555020020615","TRAMPAS","TRAMPAS",1,12.8,NA,"Evergreen Forest"
"USGS-08379178",5.4,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-08379185",4.6,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-08379187",19,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-08380500",199.8,2000-05-29,0.0241164480183852,4.81846631407336,2000-05-29,0.0241164480183852,4.81846631407336,"NM3570310559420000529","NM3570310559420000529","VIVEASH","VIVEASH",1,4.8,NA,"Evergreen Forest"
"USGS-08386505",51.1,2012-06-04,0.0962599182275964,4.91888182143018,2012-06-04,0.0962599182275964,4.91888182143018,"NM3341910582920120604","NM3341910582920120604","LITTLE BEAR","LITTLE BEAR",1,4.9,NA,"Evergreen Forest"
"USGS-08387550",13.9,2012-06-04,0.917167116949274,12.7486229255949,2012-06-04,0.917167116949274,12.7486229255949,"NM3341910582920120604","NM3341910582920120604","LITTLE BEAR","LITTLE BEAR",1,12.7,NA,"Evergreen Forest"
"USGS-08387575",7.2,2012-06-04,0.206399513894949,1.48607650004363,2012-06-04,0.206399513894949,1.48607650004363,"NM3341910582920120604","NM3341910582920120604","LITTLE BEAR","LITTLE BEAR",1,1.5,NA,"Evergreen Forest"
"USGS-08387600",30.7,2012-06-04,0.647485426493455,19.8778025933491,2012-06-04,0.647485426493455,19.8778025933491,"NM3341910582920120604","NM3341910582920120604","LITTLE BEAR","LITTLE BEAR",1,19.9,NA,"Evergreen Forest"
"USGS-08399500",5.6,1991-02-05,0.0279021010974295,0.156251766145605,1991-02-05,0.0279021010974295,0.156251766145605,"NM3270610431219910205","NM3270610431219910205","CHALK","CHALK",1,0.2,NA,"Shrub; Scrub"
"USGS-08405450",6.2,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrub; Scrub"
"USGS-09357245",172.9,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrub; Scrub"
"USGS-09357255",786.8,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrub; Scrub"
"USGS-09367536",236.7,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cultivated Crops"
"USGS-09367680",1482.4,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrub; Scrub"
"USGS-09386900",186,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-09395350",463.3,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrub; Scrub"
"USGS-09395381",12.3,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-09395390",28.6,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-09395630",2125.8,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrub; Scrub"
"USGS-06613950",33,2002-08-12,0.0475257998037009,1.56835139352213,2002-08-12,0.0475257998037009,1.56835139352213,"CO4070610669220020812","CO4070610669220020812","MT. ZIRKEL COMPLEX (BURN RIDGE)","MT. ZIRKEL COMPLEX (BURN RIDGE)",1,1.6,NA,"Shrub; Scrub"
"USGS-06614800",4.7,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrub; Scrub"
"USGS-06618300",468.3,2020-10-14,0.000134036375433783,0.0627692346156407,2020-10-14,0.000134036375433783,0.0627692346156407,"CO4020310623920201014","CO4020310623920201014","EAST TROUBLESOME","EAST TROUBLESOME",1,0.1,NA,"Evergreen Forest"
"USGS-06618480",671.3,2020-10-14,9.3503999129511e-05,0.0627692346156407,2020-10-14,9.3503999129511e-05,0.0627692346156407,"CO4020310623920201014","CO4020310623920201014","EAST TROUBLESOME","EAST TROUBLESOME",1,0.1,NA,"Shrub; Scrub"
"USGS-06693800",42.2,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrub; Scrub"
"USGS-06694100",651.6,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Grassland; Herbaceous"
"USGS-06696980",61.8,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-06697200",12.1,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrub; Scrub"
"USGS-06697450",58.7,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-06699000",118.1,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-06699005",598.6,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grassland; Herbaceous"
"USGS-06701620",280.6,2002-06-08,0.0533139445561432,14.9598928424538,2002-06-08,0.0533139445561432,14.9598928424538,"CO3922010528720020608","CO3922010528720020608","HAYMAN","HAYMAN",1,15,2,"Evergreen Forest"
"USGS-06701700",146,2002-06-08,0.464887796907512,67.8736183484967,2002-06-08,0.464887796907512,67.8736183484967,"CO3922010528720020608","CO3922010528720020608","HAYMAN","HAYMAN",1,67.9,NA,"Evergreen Forest"
"USGS-06701970",26.5,1996-05-18,0.686979407047681,18.2049542867635,1996-05-18,0.686979407047681,18.2049542867635,"CO3937210525219960518","CO3937210525219960518","BUFFALO CREEK","BUFFALO CREEK",1,18.2,NA,"Evergreen Forest"
"USGS-06704500",20.4,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-06705500",200.2,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-06708750",272.4,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Grassland; Herbaceous"
"USGS-06708800",305.2,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Grassland; Herbaceous"
"USGS-06709740",6.3,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Developed; Low Intensity"
"USGS-06709910",40.6,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Developed; Low Intensity"
"USGS-06710385",268.8,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Evergreen Forest"
"USGS-06710605",455.8,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Evergreen Forest"
"USGS-06710992",131.9,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Evergreen Forest"
"USGS-06710995",131.9,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Evergreen Forest"
"USGS-06711040",131.9,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Evergreen Forest"
"USGS-06711500",680.2,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,"Evergreen Forest"
"USGS-06711545",41.4,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Developed; Low Intensity"
"USGS-06712000",439.7,2013-06-11,0.000344793936818334,0.151605894019021,2013-06-11,0.000344793936818334,0.151605894019021,"CO3901210474920130611","CO3901210474920130611","BLACK FOREST","BLACK FOREST",1,0.2,NA,"Grassland; Herbaceous"
"USGS-06714220",25.6,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grassland; Herbaceous"
"USGS-06714400",34.5,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-06714600",41.9,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-06714800",31.1,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-06715000",225,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Evergreen Forest"
"USGS-06716100",148.3,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Evergreen Forest"
"USGS-06716500",380.8,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Evergreen Forest"
"USGS-06717400",119.5,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-06718300",693.7,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Evergreen Forest"
"USGS-06718550",155.5,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Evergreen Forest"
"USGS-06719505",1026.1,2011-03-20,0.00507300412804932,5.20540953579141,2011-03-20,0.00507300412804932,5.20540953579141,"CO3976210526320110320","CO3976210526320110320","INDIAN GULCH FIRE","INDIAN GULCH FIRE",1,5.2,8,"Evergreen Forest"
"USGS-06719560",22.6,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrub; Scrub"
"USGS-06720460",103.4,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cultivated Crops"
"USGS-06720480",103.4,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cultivated Crops"
"USGS-06720490",106.3,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cultivated Crops"
"USGS-06720820",140.1,2006-04-02,0.0319445182418637,4.4754270056851,2006-04-02,0.0319445182418637,4.4754270056851,"CO3990010517320060402","CO3990010517320060402","ROCKY FLATS","ROCKY FLATS",1,4.5,1,"Grassland; Herbaceous"
"USGS-06720990",372.4,2006-04-02,0.0120177953965765,4.4754270056851,2006-04-02,0.0120177953965765,4.4754270056851,"CO3990010517320060402","CO3990010517320060402","ROCKY FLATS","ROCKY FLATS",1,4.5,4,"Cultivated Crops"
"USGS-06721500",86.4,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-06730400",91.1,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Evergreen Forest"
"USGS-06746095",9.1,2020-08-13,6.40359721914315e-05,0.000582727346942027,2020-08-13,6.40359721914315e-05,0.000582727346942027,"CO4060910587920200813","CO4060910587920200813","CAMERON PEAK","CAMERON PEAK",1,0,NA,"Evergreen Forest"
"USGS-06746110",19.1,2020-08-13,0.128333240011686,2.45116488422321,2020-08-13,0.128333240011686,2.45116488422321,"CO4060910587920200813","CO4060910587920200813","CAMERON PEAK","CAMERON PEAK",1,2.5,NA,"Evergreen Forest"
"USGS-06753400",463.6,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Grassland; Herbaceous"
"USGS-06753990",1478.6,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Grassland; Herbaceous"
"USGS-06759100",3561.2,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Grassland; Herbaceous"
"USGS-06821360",2887.4,1996-02-24,0.00218061116094666,6.29629666611737,1996-02-24,0.00218061116094666,6.29629666611737,"CO3874510452619960224","CO3874510452619960224","UNNAMED","UNNAMED",1,6.3,NA,"Cultivated Crops"
"USGS-07079300",132.7,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-07080980",8.7,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-07081200",263.8,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-07081800",30.1,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Evergreen Forest"
"USGS-07083000",65.4,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-07083200",65.4,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-07083700",586.1,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Evergreen Forest"
"USGS-07083710",614.8,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Evergreen Forest"
"USGS-07084500",192.7,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrub; Scrub"
"USGS-07086000",1110.2,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Evergreen Forest"
"USGS-07086500",174.3,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrub; Scrub"
"USGS-07087050",1418,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Evergreen Forest"
"USGS-07087200",1667.4,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Evergreen Forest"
"USGS-07091200",2727.9,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Evergreen Forest"
"USGS-07093700",3738.3,2019-09-08,0.00675851423562301,25.2653537670295,2019-09-08,0.00675851423562301,25.2653537670295,"CO3840910600420190908","CO3840910600420190908","DECKER","DECKER",1,25.3,4,"Evergreen Forest"
"USGS-07093740",275.4,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grassland; Herbaceous"
"USGS-07093775",546.4,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grassland; Herbaceous"
"USGS-07099050",323,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-07099060",357.7,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-07099215",34.5,2008-04-16,0.031815563407442,1.09763693755675,2008-04-16,0.031815563407442,1.09763693755675,"CO3861310485820080416","CO3861310485820080416","TA-25","TA-25",1,1.1,NA,"Evergreen Forest"
"USGS-07099990",43.8,2012-06-23,0.0281650668995779,1.23362993020151,2012-06-23,0.0281650668995779,1.23362993020151,"CO3888410493320120623","CO3888410493320120623","WALDO CANYON","WALDO CANYON",1,1.2,NA,"Evergreen Forest"
"USGS-07103700",267.1,2012-06-23,0.102078118160971,27.2650653607954,2012-06-23,0.102078118160971,27.2650653607954,"CO3888410493320120623","CO3888410493320120623","WALDO CANYON","WALDO CANYON",1,27.3,1,"Evergreen Forest"
"USGS-07103703",28.4,2012-06-23,0.74861866300553,21.260770029357,2012-06-23,0.74861866300553,21.260770029357,"CO3888410493320120623","CO3888410493320120623","WALDO CANYON","WALDO CANYON",1,21.3,NA,"Grassland; Herbaceous"
"USGS-07103740",41.5,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-07103747",73.2,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-07103780",215.6,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Evergreen Forest"
"USGS-07103785",13.7,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-07103790",314.9,2013-06-11,0.0298317231996487,9.39400963556937,2013-06-11,0.0298317231996487,9.39400963556937,"CO3901210474920130611","CO3901210474920130611","BLACK FOREST","BLACK FOREST",1,9.4,3,"Evergreen Forest"
"USGS-07103797",18.9,2012-06-23,0.338474572841298,6.39716942670053,2012-06-23,0.338474572841298,6.39716942670053,"CO3888410493320120623","CO3888410493320120623","WALDO CANYON","WALDO CANYON",1,6.4,NA,"Evergreen Forest"
"USGS-07103800",41.5,2012-06-23,0.420148441452467,17.4361603202774,2012-06-23,0.420148441452467,17.4361603202774,"CO3888410493320120623","CO3888410493320120623","WALDO CANYON","WALDO CANYON",1,17.4,NA,"Evergreen Forest"
"USGS-07103930",61,2012-06-23,0.298784028629683,18.2258257464107,2012-06-23,0.298784028629683,18.2258257464107,"CO3888410493320120623","CO3888410493320120623","WALDO CANYON","WALDO CANYON",1,18.2,NA,"Evergreen Forest"
"USGS-07103960",41.9,2013-06-11,0.356925872928445,14.9551940757019,2013-06-11,0.356925872928445,14.9551940757019,"CO3901210474920130611","CO3901210474920130611","BLACK FOREST","BLACK FOREST",1,15,2,"Evergreen Forest"
"USGS-07103965",13.5,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Developed; Medium Intensity"
"USGS-07103977",19.3,2013-06-11,0.0367126494432285,0.70855413425431,2013-06-11,0.0367126494432285,0.70855413425431,"CO3901210474920130611","CO3901210474920130611","BLACK FOREST","BLACK FOREST",1,0.7,NA,"Grassland; Herbaceous"
"USGS-07103980",28.4,2013-06-11,0.0250501448115752,0.711424112648735,2013-06-11,0.0250501448115752,0.711424112648735,"CO3901210474920130611","CO3901210474920130611","BLACK FOREST","BLACK FOREST",1,0.7,NA,"Grassland; Herbaceous"
"USGS-07103985",9.1,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Developed; Medium Intensity"
"USGS-07103987",48.7,2013-06-11,0.014549366206454,0.70855413425431,2013-06-11,0.014549366206454,0.70855413425431,"CO3901210474920130611","CO3901210474920130611","BLACK FOREST","BLACK FOREST",1,0.7,NA,"Developed; Medium Intensity"
"USGS-07103990",48.7,2013-06-11,0.014549366206454,0.70855413425431,2013-06-11,0.014549366206454,0.70855413425431,"CO3901210474920130611","CO3901210474920130611","BLACK FOREST","BLACK FOREST",1,0.7,NA,"Developed; Medium Intensity"
"USGS-07105000",21.3,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-07105490",64.2,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-07105600",159.9,2013-06-11,0.011256989944235,1.79999269208317,2013-06-11,0.011256989944235,1.79999269208317,"CO3901210474920130611","CO3901210474920130611","BLACK FOREST","BLACK FOREST",1,1.8,1,"Grassland; Herbaceous"
"USGS-07105900",172.3,1996-02-24,0.0595204694417251,10.2553768848092,1996-02-24,0.0595204694417251,10.2553768848092,"CO3876010460719960224","CO3876010460719960224","UNNAMED","UNNAMED",1,10.3,NA,"Grassland; Herbaceous"
