"","Stream","Date","Time","Date + Time","Streamflow","Ammonia as N","NH3 DQ","TKN","TKN DQ","Nitrate + Nitrite as N","NO2+NO3 DQ","Phosphate","PO4 DQ","Total Phosphorus","Total Phosphorus Data Qualifier","Chloride","Cl DQ","Sulfate","SO4 DQ","Ion Balance","Color","Color Notes","Alkalinity","Alk DQ","Alk Notes","Carbonate","Bicarbonate","Conductivity","TDS","TDS Notes","TSS","TSS Notes","Fluoride","F DQ","F Notes","pH","Boron","B DQ","B Notes","Calcium","Ca DQ","Ca Notes","Iron","Fe DQ","Magnesium","Mg DQ","Potassium","K DQ","Sodium","Na DQ","Na Notes","Hardness (Ca & Mg)","Hardness Notes","Aluminum","Al DQ","Antimony","Sb DQ","Arsenic","As DQ","As Notes","Barium","Ba DQ","Beryllium","Be DQ","Cadmium","Cd DQ","Chromium","Cr DQ","Cr Notes","Cobalt","Co DQ","Copper","Cu DQ","Lead","Pb DQ","Manganese","Mn DQ","Mn Notes","Molybdenum","Mb DQ","Nickel","Ni DQ","Silicon","Si DQ","Silver","Ag DQ","Strontium","Sr DQ","Thallium","Tl DQ","Uranium","Ur DQ","Ur Notes","Vanadium","V DQ","V Notes","Zinc","Zn DQ","Zn Notes","Selenium","Se DQ","Se Notes","Mercury","Hg DQ","TOC","TOC Data Qualifier","TOC Notes"
"11","Redondo Creek",2005-09-22," 08:30:00",2005-09-22 08:30:00,NA,"<0.1",NA,0.49,NA,"<0.1",NA,NA,NA,0.076,NA,"<10",NA,"<10",NA,13.1,"10",NA,30.4,NA,NA,"0",37.1,72,"112",NA,"22",NA,0.13,NA,NA,7.59,NA,NA,NA,10.4,NA,NA,NA,NA,"<1",NA,"<5",NA,6.3,NA,NA,"25.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Redondo Creek",2005-10-05," 16:45:00",2005-10-05 16:45:00,NA,"<0.1",NA,0.47,NA,"<0.1",NA,NA,NA,0.098,NA,"<10",NA,"<10",NA,14.2,"15",NA,30.4,NA,NA,"0",37.1,73.5,"100",NA,"15",NA,0.15,NA,NA,7.68,NA,NA,NA,10.8,NA,NA,NA,NA,"<1",NA,"<5",NA,6.19,NA,NA,"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Redondo Creek",2005-10-20," 10:00:00",2005-10-20 10:00:00,NA,"<0.1",NA,0.33,NA,"<0.1",NA,NA,NA,0.073,NA,"<10",NA,"<10",NA,30.1,"15",NA,28.8,NA,NA,"0",35.1,74.1,"122",NA,"15",NA,NA,NA,NA,7.73,NA,NA,NA,14.1,NA,NA,NA,NA,"<1",NA,"<5",NA,8.48,NA,NA,"35.200000000000003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Redondo Creek",2005-11-03," 15:00:00",2005-11-03 15:00:00,NA,"<0.1",NA,0.25,NA,"<0.1",NA,NA,NA,0.07,NA,"<10",NA,"<10",NA,10.1,"5",NA,29.2,NA,NA,"0",35.6,68.8,"124",NA,"12",NA,0.14,NA,NA,7.85,NA,NA,NA,9.32,NA,NA,NA,NA,"<1",NA,"<5",NA,5.74,NA,NA,"23.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Redondo Creek",2005-11-16," 18:30:00",2005-11-16 18:30:00,NA,"<0.1",NA,NA,NA,"<0.1",NA,NA,NA,0.077,NA,"<10",NA,"<10",NA,8.97,"5",NA,34.8,NA,NA,"0",42.5,83.5,"112",NA,"10",NA,0.14,NA,NA,7.92,NA,NA,NA,11,NA,NA,NA,NA,"<1",NA,"<5",NA,6.54,NA,NA,"27.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Redondo Creek",2006-01-05," 17:00:00",2006-01-05 17:00:00,NA,"<0.1",NA,0.43,NA,"<0.1",NA,NA,NA,0.068,NA,"<10",NA,"<10",NA,27.6,"15",NA,25.2,NA,NA,"0",30.7,78.9,"98",NA,"25",NA,0.12,NA,NA,7.8,NA,NA,NA,8.95,NA,NA,NA,NA,"1.1000000000000001",NA,"1.99",NA,6.89,NA,NA,"26.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Redondo Creek",2006-02-01," 15:30:00",2006-02-01 15:30:00,NA,"<0.1",NA,0.49,NA,"<0.1",NA,NA,NA,0.064,NA,"<10",NA,"11.1",NA,8.77,"30",NA,33,NA,NA,"0",40.3,100,"150",NA,"15",NA,0.13,NA,NA,7.69,NA,NA,NA,10.2,NA,NA,NA,NA,"1.39",NA,"3.15",NA,8.22,NA,NA,"31.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Redondo Creek",2006-03-06," 15:30:00",2006-03-06 15:30:00,NA,"<0.1",NA,0.49,NA,"<0.1",NA,NA,NA,0.035,NA,"<10",NA,"<10",NA,23.8,"15",NA,25.8,NA,NA,"0",31.5,73.8,"96",NA,"25",NA,0.13,NA,NA,7.83,NA,NA,NA,8.24,NA,NA,NA,NA,"1.1599999999999999",NA,"2.25",NA,6.31,NA,NA,"25.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Redondo Creek",2006-04-03," 16:15:00",2006-04-03 16:15:00,NA,"<0.1",NA,0.42,NA,"<0.1",NA,NA,NA,0.038,NA,"<10",NA,"11.9",NA,3.27,"10",NA,14.8,NA,NA,"0",18.1,61.3,"98",NA,"<3",NA,NA,NA,NA,7.3,NA,NA,NA,5.93,NA,NA,NA,NA,"<1",NA,"1.74",NA,5.51,NA,NA,"17.899999999999999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Redondo Creek",2006-05-02," 16:45:00",2006-05-02 16:45:00,NA,"0.62",NA,0.073,NA,"<0.1",NA,NA,NA,NA,NA,"<10",NA,"11.5",NA,11.3,"25",NA,26.4,NA,NA,"0",32.2,85.6,"140",NA,"6",NA,0.14,NA,NA,7.65,NA,NA,NA,9.51,NA,NA,NA,NA,"1.46",NA,"2.33",NA,7.1,NA,NA,"29.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Redondo Creek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Redondo Creek",2007-04-16," 15:45:00",2007-04-16 15:45:00,NA,"<0.1",NA,0.324,NA,"<0.1",NA,NA,NA,0.0688,NA,"<10",NA,"<10",NA,32.5,"100",NA,22.6,NA,NA,"0",27.6,76.6,"144",NA,"9",NA,0.23,NA,NA,7.32,NA,NA,NA,7.17,NA,NA,NA,NA,"1.68",NA,"2.09",NA,7.77,NA,NA,"24.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Redondo Creek",2007-05-31," 17:00:00",2007-05-31 17:00:00,NA,"<0.1",NA,0.353,NA,"<0.1",NA,NA,NA,0.082,NA,"<10",NA,"<10",NA,8.06,"70",NA,25,NA,NA,"0",30.5,67.7,"108",NA,"28",NA,0.11,NA,NA,7.72,NA,NA,NA,6.94,NA,NA,NA,NA,"<1",NA,"1.39",NA,4.75,NA,NA,"17.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Redondo Creek",2007-07-05," 18:30:00",2007-07-05 18:30:00,NA,"<0.1",NA,0.605,NA,"<0.1",NA,NA,NA,0.114,NA,"<10",NA,"<10",NA,11,"35",NA,26.8,NA,NA,"0",32.7,69.3,"86",NA,"20",NA,0.11,NA,NA,7.67,NA,NA,NA,9.03,NA,NA,NA,NA,"<1",NA,"1.28",NA,4.26,NA,NA,"22.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Redondo Creek",2007-08-01," 17:30:00",2007-08-01 17:30:00,NA,"<0.1",NA,0.81,NA,"<0.1",NA,NA,NA,0.136,NA,"<10",NA,"<10",NA,10.9,"25",NA,28.5,NA,NA,"0",34.8,71.2,"114",NA,"32",NA,0.104,NA,NA,7.8,NA,NA,NA,8.65,NA,NA,NA,NA,"<1",NA,"1.64",NA,5.44,NA,NA,"21.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Redondo Creek",2007-09-04," 16:45:00",2007-09-04 16:45:00,NA,"<0.1",NA,2.45,NA,"<0.1",NA,NA,NA,0.427,NA,"<10",NA,"<10",NA,6.68,"20",NA,28.8,NA,NA,"0",35.1,71.6,"114",NA,"328",NA,0.1,NA,NA,7.59,NA,NA,NA,7.81,NA,NA,NA,NA,"<1",NA,"1.77",NA,5.14,NA,NA,"19.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Redondo Creek",2007-10-03," 17:40:00",2007-10-03 17:40:00,NA,"<0.1",NA,0.512,NA,"<0.1",NA,NA,NA,0.113,NA,"<10",NA,"<10",NA,14.4,"50",NA,30.7,NA,NA,"0",37.4,77.4,"130",NA,"24",NA,0.105,NA,NA,7.69,NA,NA,NA,9.03,NA,NA,NA,NA,"1.03",NA,"2.1",NA,5.29,NA,NA,"26.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Redondo Creek",2007-11-13," 13:30:00",2007-11-13 13:30:00,NA,"Contaminated",NA,NA,NA,"<0.1",NA,NA,NA,0.0627,NA,"<10",NA,"<10",NA,5.71,"30",NA,28.2,NA,NA,"0",34.4,74,"68",NA,"15",NA,NA,NA,NA,7.87,NA,NA,NA,7.93,NA,NA,NA,NA,"<1",NA,"1.33",NA,4.66,NA,NA,"19.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Redondo Creek",2008-04-29," 18:00:00",2008-04-29 18:00:00,NA,"<0.1",NA,0.627,NA,"<0.1",NA,NA,NA,0.0799,NA,"<10",NA,"10.7",NA,11.6,"70",NA,21.9,NA,NA,"0",26.7,74,"200",NA,"34",NA,NA,NA,NA,7.56,NA,NA,NA,8.12,NA,NA,NA,NA,"1.04",NA,"2.82",NA,6.22,NA,NA,"24.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Redondo Creek",2008-06-02," 16:15:00",2008-06-02 16:15:00,NA,"<0.1",NA,0.7,NA,"<0.1",NA,NA,NA,0.14,NA,"<10",NA,"<10",NA,16.4,"45",NA,24.2,NA,NA,"0",29.5,64.3,"76",NA,"66",NA,NA,NA,NA,7.52,NA,NA,NA,8.23,NA,NA,NA,NA,"<1",NA,"1.79",NA,5.02,NA,NA,"20.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Redondo Creek",2008-06-30," 17:15:00",2008-06-30 17:15:00,NA,"<0.1",NA,0.43,NA,"<0.1",NA,NA,NA,NA,NA,"<10",NA,"<10",NA,12.3,"100",NA,24.8,NA,NA,"0",30.3,65.4,"102",NA,"41",NA,NA,NA,NA,7.69,NA,NA,NA,7.95,NA,NA,NA,NA,"<1",NA,"1.24",NA,4.75,NA,NA,"19.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Redondo Creek",2008-07-31," 16:30:00",2008-07-31 16:30:00,NA,"<0.1",NA,0.437,NA,"<0.1",NA,NA,NA,0.843,NA,"<10",NA,"<10",NA,13.1,"25",NA,25.5,NA,NA,"0",31.1,69.9,"100",NA,"10",NA,0.122,NA,NA,7.73,NA,NA,NA,7.79,NA,NA,NA,NA,"<1",NA,"1.74",NA,5.31,NA,NA,"19.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Redondo Creek",2008-08-28," 16:00:00",2008-08-28 16:00:00,NA,"<0.1",NA,1.06,NA,"<0.1",NA,NA,NA,NA,NA,"<10",NA,"<10",NA,11.8,NA,NA,27.4,NA,NA,"0",33.4,NA,"92",NA,"4",NA,NA,NA,NA,7.87,NA,NA,NA,8.27,NA,NA,NA,NA,NA,NA,"1.8",NA,5.43,NA,NA,"20.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Redondo Creek",2008-09-30," 16:30:00",2008-09-30 16:30:00,NA,"<0.1",NA,0.24,NA,"<0.1",NA,NA,NA,0.091,NA,"<10",NA,"<10",NA,12,"15",NA,29.3,NA,NA,"0",35.7,72.6,"70",NA,"5",NA,0.127,NA,NA,7.64,NA,NA,NA,9.07,NA,NA,NA,NA,"<1",NA,"1.95",NA,5.58,NA,NA,"22.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
